name,feature,what
Хела Одинсдоттир,Настоящее имя,Хела Одинсдоттир
М. Скотт,Настоящее имя,М. Скотт
Хела Одинсдоттир,Также известен как,Богиня смерти
Хела Одинсдоттир,Вид,Первенец 
Хела Одинсдоттир,Гражданство,Одина
Хела Одинсдоттир,Пол,Поганое сердце
М. Скотт,Вид,Человек
М. Скотт,Гражданство,США
М. Скотт,Пол,Мужской
М. Скотт,Принадлежность,Арийское братство
Олдрич Киллиан,Настоящее имя,Олдрич Киллиан
Джимми,Настоящее имя,Джимми
Олдрич Киллиан,Также известен как,Мандарин
Олдрич Киллиан,Вид,Патология 
Олдрич Киллиан,Гражданство,серийного убийцы
Олдрич Киллиан,Пол,Манипуляция 
Джимми,Вид,Человек
Джимми,Гражданство, 
Джимми,Пол,США
Джимми,Принадлежность,Мужской
Говард Энтони Уолтер Старк,Настоящее имя,Говард Энтони Уолтер Старк
Бриджид О'Рейлли,Настоящее имя,Бриджид О'Рейлли
Честер Филлипс,Настоящее имя,Честер Филлипс
Говард Энтони Уолтер Старк,Также известен как,Усатый Казанова Америки
Говард Энтони Уолтер Старк,Вид,Сесил Б. Демилль
Говард Энтони Уолтер Старк,Гражданство,«Толстяк» Арбакл
Говард Энтони Уолтер Старк,Пол,Человек
Бриджид О'Рейлли,Также известен как,Нью-Йорк
Бриджид О'Рейлли,Вид,Человек
Бриджид О'Рейлли,Гражданство,США
Бриджид О'Рейлли,Пол,Женский
Коннорс,Настоящее имя,Коннорс
Честер Филлипс,Вид,Человек
Честер Филлипс,Гражданство, 
Честер Филлипс,Пол,США
Честер Филлипс,Дата рождения,Мужской
Коннорс,Вид,Человек
Коннорс,Гражданство,США
Коннорс,Пол,Мужской
Коннорс,Принадлежность,Детектив
Стивен Грант Роджерс,Настоящее имя,Стивен Грант Роджерс
Стивен Грант Роджерс,Также известен как,Стив Роджерс
Стивен Грант Роджерс,Вид,Капитан Америка
Стивен Грант Роджерс,Гражданство,Кэп
Стивен Грант Роджерс,Пол,Первый мститель
Сунил Бакши,Настоящее имя,Сунил Бакши
Сунил Бакши,Также известен как,Гленн Талбот
Сунил Бакши,Вид,Человек
Сунил Бакши,Гражданство,Англия
Сунил Бакши,Пол,/
Уильям Джинтер Рива,Настоящее имя,Уильям Джинтер Рива
Доуг,Настоящее имя,Доуг
Уильям Джинтер Рива,Вид,Человек
Уильям Джинтер Рива,Гражданство, 
Уильям Джинтер Рива,Пол,США
Уильям Джинтер Рива,Принадлежность,Мужской
Доуг,Вид,Человек
Доуг,Гражданство, 
Доуг,Пол,США
Доуг,Принадлежность,Мужской
Мария Хилл,Настоящее имя,Мария Хилл
Дженис Линкольн,Настоящее имя,Дженис Линкольн
Гутс Гутерман,Настоящее имя,Гутс Гутерман
Мария Хилл,Вид,Человек
Мария Хилл,Гражданство, 
Мария Хилл,Пол,США
Мария Хилл,Дата рождения,Женский
Дженис Линкольн,Вид,Человек
Дженис Линкольн,Пол,Женский
Дженис Линкольн,Принадлежность, 
Дженис Линкольн,Статус,Stark Industries
Гутс Гутерман,Вид,Человек
Гутс Гутерман,Пол,Мужской
Гутс Гутерман,Принадлежность, 
Гутс Гутерман,Статус,Stark Industries
Виктория Сноу,Настоящее имя,Виктория Сноу
Бамбина Тереза Блисс Арбогаст,Настоящее имя,Бамбина Тереза Блисс Арбогаст
Антон Ванко,Настоящее имя,Антон Ванко
Гарольд Джозеф Хоган,Настоящее имя,Гарольд Джозеф Хоган
Виктория Сноу,Вид,Человек
Виктория Сноу,Пол,Женский
Виктория Сноу,Принадлежность, 
Виктория Сноу,Статус,Stark Industries
Бамбина Тереза Блисс Арбогаст,Также известен как,Бэмби Арбогаст
Бамбина Тереза Блисс Арбогаст,Вид,Человек
Бамбина Тереза Блисс Арбогаст,Гражданство,США
Бамбина Тереза Блисс Арбогаст,Пол,Женский
Антон Ванко,Вид,Человек
Антон Ванко,Гражданство, 
Антон Ванко,Пол,Советский Союз
Антон Ванко,Дата смерти, 
Гарольд Джозеф Хоган,Также известен как,Хэппи Хоган
Гарольд Джозеф Хоган,Вид,Хэп
Гарольд Джозеф Хоган,Гражданство,Охранник 
Гарольд Джозеф Хоган,Пол,Тони Старка
Вирджиния Поттс,Настоящее имя,Вирджиния Поттс
Вирджиния Поттс,Также известен как,Пеппер Поттс
Вирджиния Поттс,Вид,Пеп
